0	81	6
0	91	75
0	97	6
0	101	6
0	170	73
0	178	73
0	208	73
0	227	6
0	262	49
0	285	6
0	378	70
0	462	73
0	535	75
0	537	6
0	559	6
0	601	6
0	630	73
0	698	75
0	761	6
0	804	6
0	805	73
0	906	70
0	1110	6
0	1117	6
0	1119	6
0	1125	6
0	1146	6
0	1230	6
0	1268	6
0	1271	6
0	1384	6
0	1386	6
0	1444	70
0	1501	6
0	1583	6
1	43	20
1	97	20
1	113	20
1	121	20
1	172	20
1	192	20
1	195	20
1	227	70
1	232	70
1	233	20
1	266	20
1	273	20
1	324	20
1	346	20
1	443	20
1	473	20
1	477	20
1	486	20
1	635	20
1	639	20
1	660	20
1	673	20
1	697	20
1	704	20
1	749	20
1	750	20
1	777	20
1	811	20
1	852	20
1	863	20
1	871	20
1	927	20
1	928	20
1	1092	20
1	1137	20
1	1167	20
1	1190	70
1	1216	70
1	1253	20
1	1329	20
1	1331	20
1	1339	20
1	1340	70
2	914	73
2	1193	73
2	1225	73
2	1395	73
3	22	49
3	118	49
3	155	49
3	192	49
3	277	49
3	280	49
3	350	49
3	383	49
3	550	49
3	559	49
3	596	49
3	609	49
3	804	49
3	849	49
3	993	70
3	1035	49
3	1306	49
3	1427	49
3	1583	49
4	805	49
5	8	75
5	16	75
5	25	57
5	33	47
5	39	47
5	41	21
5	42	47
5	46	47
5	47	47
5	51	73
5	53	49
5	68	47
5	84	49
5	90	47
5	101	47
5	113	47
5	121	47
5	129	47
5	138	73
5	190	47
5	216	47
5	238	73
5	257	47
5	286	21
5	299	47
5	300	49
5	315	73
5	325	47
5	330	47
5	336	47
5	342	47
5	349	73
5	372	42
5	375	4
5	388	73
5	391	47
5	394	47
5	408	77
5	411	47
5	419	75
5	424	49
5	440	47
5	448	57
5	457	47
5	465	49
5	479	47
5	498	47
5	514	47
5	522	57
5	559	57
5	598	47
5	601	57
5	604	57
5	617	73
5	622	49
5	650	47
5	664	73
5	667	47
5	693	57
5	698	47
5	707	47
5	726	57
5	740	47
5	744	68
5	766	47
5	780	73
5	805	73
5	806	47
5	811	47
5	821	47
5	829	47
5	831	47
5	832	47
5	834	47
5	837	21
5	843	47
5	848	47
5	878	73
5	880	73
5	881	80
5	882	47
5	893	73
5	912	73
5	918	47
5	933	47
5	938	47
5	940	57
5	951	47
5	971	73
5	989	68
5	990	4
5	1008	73
5	1024	47
5	1025	80
5	1056	57
5	1067	47
5	1069	35
5	1079	75
5	1092	73
5	1105	72
5	1135	47
5	1137	73
5	1144	75
5	1166	47
5	1178	47
5	1179	47
5	1190	73
5	1206	57
5	1221	80
5	1237	73
5	1241	49
5	1257	49
5	1265	57
5	1270	47
5	1278	47
5	1285	47
5	1292	57
5	1303	57
5	1318	73
5	1325	73
5	1330	73
5	1334	73
5	1346	34
5	1380	57
5	1395	75
5	1397	47
5	1400	73
5	1420	73
5	1425	47
5	1426	73
5	1429	49
5	1436	47
5	1456	73
5	1541	21
5	1567	47
5	1574	47
5	1596	57
5	1598	57
6	43	20
6	46	20
6	54	20
6	83	20
6	100	54
6	113	20
6	187	20
6	194	54
6	232	70
6	292	20
6	356	54
6	387	54
6	431	54
6	472	54
6	490	9
6	500	20
6	639	20
6	643	9
6	644	70
6	697	20
6	794	20
6	824	20
6	839	20
6	855	54
6	880	20
6	906	20
6	918	20
6	922	49
6	938	49
6	942	70
6	1138	54
6	1140	20
6	1190	70
6	1197	20
6	1236	9
6	1329	20
6	1354	70
6	1400	20
6	1602	70
7	604	49
7	1346	34
8	1121	73
8	1415	73
9	62	70
9	63	47
9	80	47
9	99	47
9	116	47
9	390	4
9	426	70
9	582	70
9	629	70
9	682	70
9	697	47
9	944	73
9	952	47
9	1020	70
9	1072	47
9	1107	73
9	1122	70
9	1418	73
9	1440	73
9	1498	4
9	1579	47
10	1054	75
11	139	51
11	208	82
11	248	51
11	1016	51
12	300	64
12	486	64
12	532	64
12	820	64
12	849	64
12	853	64
12	926	64
12	1093	49
13	75	4
13	93	47
13	99	47
13	104	47
13	169	47
13	309	82
13	419	75
13	441	73
13	616	51
13	863	47
13	1010	82
13	1101	49
13	1220	49
13	1233	47
13	1261	73
13	1329	47
13	1334	47
13	1405	73
13	1518	73
13	1537	49
13	1587	49
14	269	70
14	358	70
14	380	70
14	609	70
14	675	47
14	726	70
14	731	70
14	1269	70
14	1303	70
14	1304	70
14	1338	73
14	1339	75
14	1596	70
15	136	49
15	786	58
15	799	58
16	47	53
16	670	6
16	693	53
16	695	6
16	790	75
16	930	53
16	1108	53
16	1317	53
16	1407	53
16	1544	6
16	1583	6
17	231	4
17	542	4
17	972	4
18	61	9
18	94	67
18	154	67
18	227	9
18	424	67
18	490	9
18	583	9
